,productName,brand,price,fabricType,closureType,countryOfOrigin,describe,productDescription,ratings,rate
0,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Flat-Front Chino Pant (Available in Big & Tall), Amazon Essentials,29.8,"60% Cotton, 40% Polyester",Zipper,Bangladesh,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,An Amazon brand - A flat-front wrinkle-resistant dressy chino pant that offers classic style all week long,54872.0,4.2
1,Van Heusen Men's Flex Flat Front Straight Fit Pant, Van Heusen,48.98,"72% Polyester, 22% Rayon, 6% Spandex",Zipper,Vietnam,Keep your look in place from morning commute to mid-afternoon meeting thanks to our clever shirt-gripper - a stellar addition to our comfortable stretch waistband,Không có,15229.0,4.4
2,Lee Men's Big & Tall Extreme Motion Flat Front Regular Straight Pant, Lee,36.9,"97% Cotton, 3% Spandex",Zipper,Bangladesh,"Straight fit, straight leg opening",LEE Men's Big & Tall Performance Series Extreme Comfort Pant.,6394.0,4.5
3,ATG by Wrangler Men's Synthetic Utility Pant, ATG by Wrangler,24.49,"96% Nylon, 4% Spandex",Zipper,Bangladesh,"QUICK DRYING. Whether you are crossing wet areas hiking or encounter unexpected rain, these quick-drying utility pants are coated with a water repellent finish to keep you dry through any conditions you may come across.","ALL TERRAIN GEAR: You’re ready to take on your next great adventure, which is why ATG x Wrangler brings you performance outdoor apparel that’s got you covered. Nature doesn’t hold back, which is why we’ve designed a full collection of tops, pants, shorts, outerwear and more with stretch, moisture-wicking fabric that helps block the sun with UPF protection and keep you dry for comfort that doesn’t quit. The line is packed with innovative outdoor tech features like sunglasses cleaner at the hem of all shirts, durable, reinforced pants with reinforced and lightweight, breathable fabrics. Whether you’re camping at your favorite site, hiking a new trail or even just exploring your own backyard, we’ve got the gear you need. Any destination. Any terrain. Anytime.",9664.0,4.5
4,adidas Men's Tiro 21 Track Pants, adidas,44.43,100% Polyester,Drawstring,Không xác định,Men's tapered track pants for versatile wear,"TIRO's lifestyle trousers are born from sport, but worn for style. Inspired by 90's football, they're great on their own, but best enjoyed as a comfortable uniform with our matching top.",24864.0,4.7
5,Wrangler Men's Flat Front Relaxed Fit Casual Pant, Wrangler,36.99,"98% Cotton, 2% Spandex",Zipper,Mexico,Stretch twill,Không có,2256.0,4.4
6,Eddie Bauer Men's Rainier Pants, Eddie Bauer,70.0,"94% Nylon, 6% Spandex","Button, zipper",Sri Lanka,bluesign certified fabric—ensures safe and sustainable textile production,"Built for high performance and maximum comfort, these pants are made with a 2-way stretch nylon/spandex fabric. It's treated with a durable, water-repellent finish and features UPF sun protection. Ideal for hiking or anytime adventure calls.",246.0,4.4
7,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant, Wrangler Authentics,33.1,100% Cotton,Zipper,Bangladesh,"RELAXED STRAIGHT LEG FIT. These premium cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a roomy straight leg cut, these cargo pants will keep you comfortable all day.",Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant.,20109.0,4.5
8,Tommy Hilfiger Men's Classic Stretch Chino Pants, Tommy Hilfiger,49.99,"78% Rayon, 19% Nylon, 3% Spandex",Hook and Bar,Guatemala,"Shapely Fit: Tommy Hilfiger Modern Fit dress pants for men give you room in the hip, seat, and thigh while creating a sleek silhouette.",Không có,1851.0,4.4
9,Amazon Essentials Men's Straight-Fit Casual Stretch Chino Pant, Amazon Essentials,23.7,"97% Cotton, 3% Elastane",Zipper,Bangladesh,STRAIGHT FIT: Fits with slight ease through hip and thigh with straight leg. Sits at the waist.,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,9890.0,4.3
10,Amazon Essentials Men's Straight-Fit Stretch Cargo Pant (Available in Big & Tall), Amazon Essentials,28.5,"97% Cotton, 3% Spandex",Zipper,Bangladesh,STRAIGHT FIT: Fitted through the hip and thigh with a straight leg. Sits at the waist.,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,15206.0,4.4
11,Lee Men's Extreme Motion Canvas Cargo Pant, Lee,21.91,"98% Cotton, 2% Spandex",Zipper,Bangladesh,Straight fit; straight leg,"Just like our founder,  H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully because your passion is what makes you unique. And what moves you, moves us. Move your Lee. Fit Type: Straight; Closure Type: Zip-Fly with button closure",4175.0,4.5
12,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant, Lee,26.91,"60% Cotton, 38% Polyester, 2% Spandex",Zipper,Bangladesh,Relaxed fit,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant,4749.0,4.5
13,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking", Russell Athletic,20.99,"50% Polyester, 50% Cotton",Elastic,Honduras,Relaxed Fit: roomy design for unlimited movement and ultimate comfort,"Stay warm all season with these Sweatpants. Made with medium-weight fleece, featuring Dri-Power® moisture wicking technology to keep body heat in so you can stay warm and dry. Elastic waistband with inside quick cord, for an adjustable fit. Relaxed open bottom and generous pockets to carry your accessories with you on the go. Inseams- S-30"", M-31"", L-32"", XL-33"", XXL-34"", 3XL-35"", 4XL-36"".",23502.0,4.3
14,Amazon Essentials Men's Slim-Fit Wrinkle-Resistant Flat-Front Stretch Chino Pant, Amazon Essentials,29.4,"72% Organic Cotton, 25% Polyester, 3% Elastane",Button,Bangladesh,SLIM FIT: Fitted through hip and thigh with tapered leg. Sits below the waist.,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting - at affordable prices for the whole family.",1057.0,4.2
15,Amazon Essentials Men's Relaxed-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,"RELAXED FIT: Our most generous pants fit, relaxed through the hip, thigh, and leg. Sits at the waist.","Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",3436.0,4.4
16,Lee Mens Extreme Motion Flat Front Slim Straight Pant, Lee,16.0,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"SLIM FIT. With a slim fit through the hip and thigh, these men's pants sit at the natural waist with a flex waistband for comfort. These slim fit pants provide a modern look that keeps you comfortable all day long.",Lee Mens Extreme Motion Flat Front Slim Straight Pant,5470.0,4.6
17,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Pleated Chino Pant (Available in Big & Tall), Amazon Essentials,28.5,"60% Cotton, 40% Polyester",Zipper,Bangladesh,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,An Amazon Brand - A pleated dressy chino that offers classic style all week long; made to be wrinkle-resistant and easy-care with a traditional relaxed look and fit,14603.0,4.3
18,Lucky Brand Men's 363 Vintage Straight Jean, Lucky Brand,56.46,"55% Cotton, 22% Coolmax Polyester, 21% Tencel Lyocell, 2% Lycra Spandex",Zipper,Indonesia,"Inseam: available in 30"", 32"" and 34""","With an easy mid-rise and slightly tapered leg, our 363 vintage straight is the go-to jean for a classic look and comfortable feel.",2853.0,4.5
19,Amazon Essentials Men's Athletic-Fit Casual Stretch Chino Pant (Available in Big & Tall), Amazon Essentials,21.73,"97% Cotton, 3% Spandex",Zipper,Bangladesh,ATHLETIC FIT: Extra room in the hip and thigh for athletic builds. Sits at the waist.,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",14208.0,4.4
20,Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean, Wrangler Authentics,30.96,100% Cotton,Zipper,Mexico,"RELAXED FIT. Built with a relaxed fit through the seat and thigh, these versatile jeans sit at the natural waist for a comfortable fit during any task. Perfect for everyday wear, this denim classic is a closet staple.",Wrangler Authentics mens Comfort Flex Waist Relaxed Fit Jean,55166.0,4.6
21,Under Armour Men's Sportstyle Tricot Joggers, Under Armour,29.11,100% Polyester,Drawstring,China,Durable knit fabric with a smooth face & a soft inner to trap warmth|Material wicks sweat & dries really fast|Ribbed waistband with external drawcord|Back left pocket & hand pockets with right-side internal phone pocket|Tapered leg & ribbed cuffs|Faux fly,"Durable knit fabric with a smooth face & a soft inner to trap warmth. Material wicks sweat & dries really fast. Ribbed waistband with external drawcord. Back left pocket & hand pockets with right-side internal phone pocket. Tapered leg & ribbed cuffs. Faux fly. Inseam: 30"" (Tall 32"").",15581.0,4.6
22,Lee Men's Wyoming Relaxed Fit Cargo Pant, Lee,37.14,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"RELAXED FIT. Comfortable, versatile and packed with plenty of storage, these men's cargo pants have a relaxed fit throughout for total comfort. With ample room for movement, these pants are ideal for a hike or backyard activities.",Không có,4104.0,4.5
23,Haggar Men's Premium Straight Fit 4-Way Stretch Expandable Waistband Dress Pant, Haggar,24.49,"67% Polyester, 28% Viscose, 5% Elastane",Hook and Bar,Bangladesh,"FEATURES: The flat front straight fit pant features a hook and bar closure, off seam front pockets, double welt button through back pocket and a blind hem.",Không có,824.0,4.5
24,Wrangler Authentics Men's Twill Relaxed Fit Cargo Pant (Logan), Wrangler Authentics,33.19,100% Cotton,Zipper,Bangladesh,"RELAXED FIT SILHOUETTE. These cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a contoured waistband and a relaxed fit leg, these cargo pants will keep you comfortable all day.",Wrangler Authentics Men's Classic Twill Relaxed Fit Cargo Pant.,34246.0,4.4
25,Amazon Essentials Men's Straight-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,STRAIGHT FIT: Fits with slight ease through hip and thigh with straight leg. Sits at the waist.,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",5791.0,4.4
26,Amazon Essentials Men's Slim-Fit Casual Stretch Chino Pant, Amazon Essentials,28.5,"97% Cotton, 3% Elastane",Zipper,Sri Lanka,"SLIM FIT: Fitted through hip and thigh, with tapered leg. Sits below the waist.",1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,26743.0,4.4
27,Haggar Men's Premium No Iron Khaki Classic Fit Expandable Waist Flat Front Pant (Regular and Big & Tall Sizes), Haggar,44.99,"61% Cotton, 37% Polyester, 2% Spandex",Button,Cambodia,"PREMIUM NO IRON KHAKI: Eliminate the need to iron with the premium khaki pant from Haggar. Featuring a hidden expandable waistband that stretches up to 3"", off seam front pockets, single welt back pockets in a flat front, classic fit silhouette.",Không có,27179.0,4.5
28,"Champion Men's Joggers, Lightweight Lounge Pants, Jersey Graphic Pants for Men, 31""", Champion,17.5,"60% Cotton, 40% Polyester",Drawstring,El Salvador,"THE FIT - Standard-fit men's lounge joggers with a 31"" inseam.","Champion Men'S Joggers, Lightweight Lounge Pants, Jersey Graphic Pants For Men, 31",44954.0,4.4
29,"Hanes mens Ecosmart Jogger Sweatpants, Men's Midweight Fleece Lounge Pants, 30.5", Hanes,11.9,"50% Cotton, 50% Polyester",Pull On,El Salvador,"FASHION TO FEEL GOOD ABOUT - Hanes EcoSmart mid-weight, year-round fleece sweats are made with cotton sourced from American farms.","Just-right men's joggers let you take leisure seriously while staying versatile. Hanes® EcoSmart™ mid-weight, year-round fleece sweats are made with cotton sourced from American farms, so you can feel good about your choice. Thick fleece is made with a quality cotton/polyester blend that stays warm and cozy, so jogger pants can be a longtime favorite. Whether you're kicking back or warming up for game day, these comfortable sweatpants for men have a relaxed, athletic fit that gets the job done. Side-seam pockets and single back pocket hold essentials, freeing up your hands. Throw these men's sweatpants in the washer on laundry day for easy care. Use cold water wash to reduce energy use. Love this men's activewear? Grab one in every color to maximize your style options.",38238.0,4.4
30,Under Armour Men's Drive Pants, Under Armour,62.98,"52% Polyester, 48% Elasterell-P",Pull On,Philippines,UA Storm technology repels water without sacrificing breathability,"If you're still golfing in old-school khakis, it's time to do yourself a favor. UA Drive pants are light, stretchy, and built specifically for today's athletes. Because when you can move better, you can golf better, too. UA Storm technology repels water without sacrificing breathability. Light, durable & super-comfortable stretch-woven twill fabric. 4-way stretch construction moves better in every direction. Stretch-engineered waistband for superior mobility & insane comfort. Flat-front, 4-pocket design. FIT: Straight leg. 90% Polyester/10% Elastane.",2047.0,4.6
31,"Champion Men's Pants, Lightweight Lounge, Jersey Knit Casual Pants for Men (Reg. or Big & Tall)", Champion,21.0,100% Cotton,Drawstring,El Salvador,"THE FIT - Standard-fit men's lounge pants with a 31.5"" inseam. Elastic waistband with drawcord adjusts for a fit that feels good.","Champion Men'S Pants, Lightweight Lounge, Jersey Knit Casual Pants For Men (Reg. Or Big & Tall)",54568.0,4.4
32,"Hanes Essentials Sweatpants, Men’s Cotton Jersey Pants with Pockets, 33”", Hanes,10.93,"100% cotton jersey, Light Steel: 90% cotton, 10% polyester; Charcoal Heather: 60% cotton, 40% polyester",Drawstring,El Salvador,OPEN BOTTOM STYLING – Men’s activewear features a 33” inseam and classic open bottom hem.,"Heat up or chill out with Hanes® Essentials sweatpants that transition from work-out to loungewear mainstay. Crafted from 100% ring-spun cotton, these open-bottom men’s sweats boast the softness that can only come from natural fibers. Details like robust double-needle stitching at the leg openings, covered elastic waistband with interior drawcord, and convenient side-seam pockets make these men’s joggers a versatile rotation favorite. Top with your favorite Hanes tee or sweatshirt for a look that works at the gym, running errands, or just relaxing with friends. And here’s the best part – these men’s sweatpants with pockets are made from cotton sustainably grown on U.S. farms.",27953.0,4.3
33,"Fruit of the Loom Eversoft Fleece Elastic Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking, Breathable", Fruit of the Loom,8.99,"60% Cotton, 40% Polyester",Drawstring,El Salvador,Male Model is 6’0” wearing a Size Medium. Female Model is 5’9” wearing size Small.,"At Fruit of the Loom, we believe there are no limits when it comes to comfort, from your underwear to your outerwear. We've obsessed over all the little details that make a big difference. With carefully selected features and super soft fabric our fleece is designed for superior comfort, on the go versatility, and built to withstand the test of time. Say hello to your new favorite fleece.",52944.0,4.4
34,"Fruit of the Loom Men's Eversoft Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking, Breathable", Fruit of the Loom,8.99,"60% Cotton, 40% Polyester",Drawstring,Honduras,Eversoft fabric provides premium softness wash after wash,"Fruit of the Loom fleece is made with EverSoft®  fabric for premium softness wash after wash. This great fleece collection offers a variety of great benefits like wicking and odor protection that will help keep you feeling fresher longer. Our open bottom sweatpants come with an elastic quick cord that adjusts for a customized fit, and deep jersey pockets to hold all of your essentials. Stay confident knowing that Fruit of the Loom has you covered for whatever the day brings, so don't sweat the small stuff.",6736.0,4.3
35,"Fruit of the Loom Eversoft Fleece Joggers with Pockets, Relaxed Fit, Moisture Wicking, Breathable, Tapered Sweatpants", Fruit of the Loom,8.99,"60% Cotton, 40% Polyester",Drawstring,Honduras,Relaxed Joggers with Banded Cuff at Ankle,"Fruit of the Loom® fleece is made with EverSoft®  fabric  for premium softness wash after wash. This fleece collection is now better than ever! The EverSoft®  fleece collection offers a variety of great benefits like wicking and odor protection, which will help keep you feeling fresh all day. Our sweatpants come in a variety of great colors to create the perfect look. Stay confident knowing that Fruit of the Loom® has you covered for whatever the day brings, so don't sweat the small stuff.",5717.0,4.5
36,Lee Men's Extreme Motion Flat Front Regular Straight Pant, Lee,36.64,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"STRAIGHT FIT. With a straight fit through the hip and thigh, these khaki pants sit at the natural waist with a flex waistband for comfort. These straight fit pants provides a tailored look that keeps you comfortable all day long.",Lee Men's Extreme Motion Flat Front Regular Straight Pant,20148.0,4.5
37,Hanes ComfortSoft EcoSmart Men's Fleece Sweatpants, Hanes,11.0,"50% Cotton, 50% Polyester",Mid Rise,Honduras,"FLEECE FOR THE FUTURE - EcoSmart mid-weight, year-round cotton/poly fleece with up to 5% of the poly fibers.","Have you heard of wearing your heart on your sleeve? Well, now you can wear your values on your legs with Hanes® EcoSmart® fleece sweatpants. These are plush fleece sweats you can feel good about buying and feel good about wearing. Hanes® EcoSmart® fleece is your new go-to wardrobe staple. Soft and plush, these drawstring-waist fleece joggers are made of mid-weight cotton/poly fleece with up to 5% of the poly fibers. The medium-weight fleece in these classic men's sweats is pill-resistant, super-soft, and made to keep its plush feel for a long time. The inside drawstring at the waist makes adjusting the fit a breeze. The relaxed fit is enhanced by straight legs with an open hem, and there are side-seam pockets for your essentials.",54550.0,4.4
38,Under Armour Men's Woven Vital Pants, Under Armour,30.0,100% Polyester,Drawstring,USA,"Smooth, ripstop woven fabric is lightweight & extremely durable","Smooth, ripstop woven fabric is lightweight & extremely durable. Wind-resistant materials & construction shield you from the elements. Mesh lining delivers superior breathability & comfort. Encased elastic waistband with internal drawcord. Open hand pockets. 7"" ankle zips for easy on/off even over cleats. Inseam: 31.75"".",14136.0,4.3
39,Dockers Men's Classic Fit Easy Khaki Pants (Regular and Big & Tall), Dockers,34.99,"64% Cotton, 34% Polyester, 2% Elastane",Button,Bangladesh,"Eased Fit Through Seat and Thigh, Sits at Waist With a Straight Leg","Rely on the Dockers Easy Khaki D3 Classic Fit Pants for a versatile weekday-to-weekend look. The trouser is crafted from a stretch-twill woven with a super soft-hand finish. Easy Khaki D3 classic-fit pant eases through the hip and thigh with a straight leg. No-wrinkle technology for easy all-day wear. All-motion comfort waistband sits naturally at the waist. Belt loops throughout the waist. Four pocket design. Button-through rear welt pockets. Wings & anchor embroidery above back pocket. Button front and a zip-fly closure. 64% cotton, 34% polyester, 2% elastane. Machine wash, tumble dry. Imported.",26321.0,4.5
40,Wrangler Authentics Men's Regular Fit Comfort Flex Waist Jean, Wrangler Authentics,31.55,"99% Cotton, 1% Spandex",Zipper,Mexico,COMFORT FLEX WAISTBAND: Constructed with comfort in mind - our innovative flex waistband with stretch denim bands ensure a comfortable fit that moves and bends with you,PRODUCT DESCRIPTION,78545.0,4.6
41,"Champion Men's Joggers, Powerblend, Fleece Joggers, Comfortable Sweatpants for Men (Reg. or Big & Tall)", Champion,37.87,"50% Cotton, 50% Polyester",Pull On,Honduras,THE FIT - Standard-fit men's joggers have a 31” inseam. Elastic waistband with an adjustable drawcord ensures a fit that feels good.,"Champion Men'S Joggers, Powerblend, Fleece Joggers, Comfortable Sweatpants For Men (Reg. Or Big & Tall)",42785.0,4.6
42,Wrangler Authentics Men's Relaxed Fit Stretch Cargo Pant, Wrangler Authentics,26.47,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"RELAXED FIT. These cargo pants sit at the natural waist. Designed with a relaxed fit through the seat and thigh, these cargos will keep you comfortable during any task","Wrangler Authentics Men's Classic Cargo Stretch Twill Pant. This classic cargo pant is constructed with durable materials built for long-lasting comfort. This cargo pant sits at the natural waist and features a relaxed fit through seat and thigh. Stretch fabric moves with your body, whether you're working in the yard or busy with the family on the weekend. (6) Pockets. (2) cargo side pockets (2) back patch pockets, and (2) slash pockets.",18715.0,4.5
43,Haggar Mens Premium Comfort Dress Pant-Straight Fit Flat Front Reg. and Big & Tall, Haggar,35.52,"78% polyester, 22% recycled polyester",Hook and Bar,Bangladesh,"FEATURES: This straight fit flat front pant features a hook and bar closure, off seam front pockets, double welt button through back pocket and a blind hem.",Haggar Mens Premium Comfort Dress Pant-Straight Fit Flat Front Reg. and Big & Tall,2081.0,4.4
44,Dockers Men's Classic Fit Easy Khaki Pants - Pleated (Standard and Big & Tall), Dockers,34.99,"64% Cotton, 34% Polyester, 2% Elastane",Button,Bangladesh,"Eased Fit Through Seat and Thigh, Sits at Waist With a Straight Leg Stretch for Performance",Không có,18590.0,4.5
45,Haggar Men's Premium Comfort Dress Slim Fit Flat Front Pant, Haggar,49.99,"78% Polyester, 22% Recycled Polyester",Hook and Bar,Bangladesh,"FEATURES: This flat front slim fit pant features a hook and bar closure, off seam front pockets, double welt button through back pocket and a blind hem for a seamless finish.","This sustainable, yet comfortable dress pant is sure to be a staple in your wardrobe! The Polyester fibers offer moisture wicking while the premium flex waistband provides all-day comfort. PRO STYLE TIP: Classic pieces never go out of style. Pair this dress pant with a Sportcoat and dress shirt to elevate your look. Don't be afraid to mix and match accessories. You can use patterns and textures to add more depth by remaining consistent with the color family.",2499.0,4.5
46,Wrangler Riggs Workwear Men's Ripstop Carpenter Jean, Wrangler,34.99,100% Cotton,Zipper,Mexico,"ROOM2MOVE COMFORT. For long days on the job, you want a work jean that keeps you comfortable. Made with a relaxed fit, this pant features an action gusset crotch and deep front pockets for added range of movement and comfort in wear.",Wrangler Riggs Workwear Men's Ripstop Carpenter Jean,11773.0,4.3
47,HAGGAR Mens Mynx Gabardine Classic Fit Pleated Front Hidden Expandable Waistband Dress Pant, Haggar,39.99,100% Polyester,30 Inches,Bangladesh,Classic pleated dress pant with cuffed hem and button-through welt pockets at back,HAGGAR Mens Mynx Gabardine Classic Fit Pleated Front Hidden Expandable Waistband Dress Pant,7216.0,4.5
48,Amazon Essentials Men's Classic-Fit Expandable-Waist Flat-Front Dress Pant, Amazon Essentials,32.3,100% Polyester (certified recycled),Zipper,Bangladesh,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",25008.0,4.4
49,IZOD Men's American Chino Flat Front Classic Fit Pant, IZOD,31.74,100% Cotton,Button,Bangladesh,"CHINO PANTS FOR MEN: These classic IZOD pants for men deliver casual comfort combined with timeless style. Our men’s dress pants are versatile and perfect for any occasion, from a day in the office to a day of golf to a night out.","The IZOD American classic-fit chino trousers are designed for great looks and comfort, whether they're worn in the boardroom, out for a day of golfing, or on a night out. These chinos combine timeless, classic style with versatility to deliver all-day comfort and contemporary good looks.Our IZOD chino pants feature a slightly moderate-rise waist with a zipper fly, a button closure, and a belt-loop waistband. The 4-pocket construction leaves ample room for your wallet and keys as you head out for a day with friends. These pants are available with a flat or double-pleated front that pairs with the classic style for a seamless design. Available in multiple colors and sizes, these pants offer effortless style that looks great no matter where you wear them. Made from wrinkle-free 100% cotton with superior breathability, these pants are machine washable on a gentle setting with mild detergent.IZOD is a clothing line that is synonymous with quality. We make clothing for men with the highest-quality materials and expert stitching that will stand up to work and play. Our pants, shirts, activewear, and more combine the best of contemporary fashion, comfort, and versatility.",3201.0,4.2
50,Nautica Men's Chino Pants, Nautica,32.85,"97% Cotton, 3% Elastane",Zipper,Bangladesh,Button and zip closure,"The update to the classic clipper pant. The beacon pant offers a slimmer, more modern fit and a clean, crisp look. From Nautica.",126.0,4.1
51,GAP Men's Essential Straight Fit Khaki Chino Pants, GAP,35.99,"98% Cotton, 2% Lycra",Pull On,China,"THE ESSENTIAL STRAIGHT FIT KHAKIS: With a straight cut that’s slim yet roomy, our khaki pants are made from a smooth cotton twill fabric with GapFlex stretch to keep you comfortable all day long","Modern American Optimism is in our DNA. Since 1969, we have acted as a force for good. Bridging the gaps between generations, backgrounds, and ideas through the honesty (and hope) of our eternal youthful energy.",287.0,4.3
52,PUMA Men's Essentials Fleece Sweatpants (Available in Big and Tall Sizes), PUMA,32.08,"66% Cotton, 34% Polyester",Pull On,Vietnam,Regular Fit,"This season, the Essentials are crafted from more sustainable materials for everyday staples with an impact. The Essentials Fleece Sweatpants feature a soft, cozy blend of recycled polyester and sustainably-sourced cotton for style and comfort you can feel good about.",2043.0,4.6
53,Haggar Men's Cool 18 Pro Classic Fit Flat Front Casual Pant Regular and Big & Tall Sizes, Haggar,43.23,100% Polyester,Button,Bangladesh,"COOL 18 PRO: A casual pant that checks all the boxes. Whether you are at the office or on the green, this pant is sure to provide the comfort and performance that Haggar is known for.",HAGGAR Mens Cool 18 Pro Classic Fit Flat Front Casual Pant Regular and Big & Tall Sizes,12215.0,4.6
54,Dickies Men's Pull-On Pant with 7 Pockets Elastic Waistband with Button Closure 81006, Dickies,19.99,"55% Cotton, 45% Polyester",Pull On,China,Men's zip fly pull-on pant with an all around elastic waistband with a button closure,"Men's zip fly pull-on pant features an all around elastic waistband with a button closure, an adjustable interior drawstring and Dickies logo twill tape on the inside back waistband. Also featured are slash pockets, cargo pockets and a back pocket with a hook and loop fastener for security, a d-ring on right front belt loop and double-needle topstitching throughout.",7910.0,4.3
55,Lee Men's Relaxed Fit Straight Leg Jean, Lee,23.74,100% Cotton,Zipper,Mexico,RELAXED STRAIGHT FIT. This jean sits at the waist and features a relaxed fit through the seat and thigh with a straight fit through the leg. This timeless fit keeps you comfortable all day long.,"Just like our founder,  H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully because your passion is what makes you unique. And what moves you, moves us. Move your Lee.",12702.0,4.4
56,Amazon Essentials Men's Athletic-Fit 5-Pocket Stretch Twill Pant (Available in Big & Tall), Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,ATHLETIC FIT: Extra room in the hip and thigh for athletic builds. Sits at the waist.,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",5362.0,4.4
57,IZOD Men's Performance Stretch Classic Fit Flat Front Chino Pant, IZOD,34.55,"50% Cotton, 48% Polyester, 2% Spandex",Zipper,Bangladesh,Fabric stretches for maximum comfort,The IZOD performance stretch pant is a classic style that moves with you.,308.0,4.2
58,"Columbia Men's Flex ROC Pant, Flax,38W x 30L", Columbia,49.43,"98% Cotton, 2% Elastane",Zipper,India,"DURABLE OUTDOOR PANTS: The Columbia Men’s Flex ROC Casual Hiking Pants are perfectly at home on the trail, across pavement, or sitting fireside. Designed for carefree wear, you'll love this everyday outdoor staple.","These pants are an everyday outdoor enthusiast's must-have. The Columbia Men's Flex ROC Casual Hiking Pants are an essential because of its signature soft-to-the-touch cotton blend that remains lightweight, yet durable, no matter the activity. High quality fabrics and expert craftsmanship are the backbone of Columbia’s apparel. These men's pants are durable and comfortable and include six strong belt loops for the perfect fit and ultimate freedom of movement. They feature two front and two rear pockets, plus a zippered security pocket, and a multi-tool/knife pocket to keep key items at the ready. Columbia offers these pants in multiple staple colors, lengths and sizes. Extended sizing available. Regular Fit. To ensure the size you choose is just right, please refer to our sizing chart and abide by the following measurement instructions: To find your waist measurement, measure around your natural waistline. And for your inseam measurement, measure from the top of the interior leg to the end of the knee.",72.0,4.5
59,Dickies Men's Skinny-Straight Double Knee Work Pant, Dickies,34.99,"81% Cotton, 18% Polyester, 1% Elastane",Zipper,Mexico,Skinny in seat and thigh,"Double knee work pant is skinny through the seat, thigh and leg. sits below the waist. with 1% spandex stretch for greater movement.",9690.0,4.4
