,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
0,"Champion Men's Joggers, Lightweight Lounge Pants, Jersey Graphic Pants for Men, 31""", Champion,26.0,100% Cotton,Front,El Salvador,"Champion Men'S Joggers, Lightweight Lounge Pants, Jersey Graphic Pants For Men, 31",44957,4.4,"THE FIT - Standard-fit men's lounge joggers with a 31"" inseam.",1,16
1,Amazon Essentials Men's Relaxed-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",3438,4.4,"RELAXED FIT: Our most generous pants fit, relaxed through the hip, thigh, and leg. Sits at the waist.",2,5
2,"Hanes Sport Xtemp Workout Pockets, Men's Training Pants", Hanes,14.96,100% Polyester,Drawstring,Jordan,"You put in the sweat. Let Hanes® do the rest. Hanes Sport™ men’s activewear is designed to keep you fresher – no matter how long the workout. X-Temp™ performance training pants are engineered to adapt to your body temperature and activity level, keeping you comfortable. Cool Comfort™ fabric wicks away sweat while Cool DRI™ technology speeds drying. An elastic waistband and built-in quick cord adjust for the perfect fit. The result? You can focus on your training without the distraction of uncomfortable clothing. Featuring an open-bottom hem and convenient side pockets to stash your stuff, these pants are ready to work – or not – just as hard as you are.",18870,4.3,"HANES SPORT – Performance. Style. Comfort. Hanes Sport apparel builds on our comfort heritage with innovative technologies to give you the looks that fit your life, your sport, and your style.",3,35
3,Amazon Essentials Men's Classic-Fit Casual Stretch Chino Pant, Amazon Essentials,29.4,"97% Cotton, 3% Elastane",Zipper,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",13002,4.3,"RELAXED FIT: Easy through hip, thigh and leg, sits below the waist.",4,5
4,Amazon Essentials Men's Athletic-Fit 5-Pocket Stretch Twill Pant (Available in Big & Tall), Amazon Essentials,23.7,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",5363,4.4,ATHLETIC FIT: Extra room in the hip and thigh for athletic builds. Sits at the waist.,5,5
5,Amazon Essentials Men's Slim-Fit Wrinkle-Resistant Flat-Front Stretch Chino Pant, Amazon Essentials,29.4,"72% Organic Cotton, 25% Polyester, 3% Elastane",Button,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting - at affordable prices for the whole family.",1064,4.2,SLIM FIT: Fitted through hip and thigh with tapered leg. Sits below the waist.,6,5
6,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant, Lee,36.9,"60% Cotton, 38% Polyester, 2% Spandex",Zipper,Bangladesh,Lee Mens Extreme Motion Flat Front Relaxed Taper Pant,4750,4.5,Relaxed fit,7,43
7,"Russell Athletic Men's Dri Power Fleece Open Bottom Sweatpants with Pockets, Relaxed Fit, Moisture Wicking", Russell Athletic,20.0,"50% Polyester, 50% Cotton",Elastic,Honduras,"Stay warm all season with these Sweatpants. Made with medium-weight fleece, featuring Dri-Power® moisture wicking technology to keep body heat in so you can stay warm and dry. Elastic waistband with inside quick cord, for an adjustable fit. Relaxed open bottom and generous pockets to carry your accessories with you on the go. Inseams- S-30"", M-31"", L-32"", XL-33"", XXL-34"", 3XL-35"", 4XL-36"".",23484,4.3,Relaxed Fit: roomy design for unlimited movement and ultimate comfort,8,62
8,"Perry Ellis Portfolio Modern Fit Twill Men's Dress Pants, Flat Front, Stretch Fabric, Soft and Durable, Straight Leg", Perry Ellis,29.99,100% Polyester,Zipper,Kenya,"Step into modern style and comfort with these Perry Ellis Portfolio flat-front dress pants for men. Featuring a straight fit through the leg and a regular bottom opening, they create a sleek silhouette that effortlessly complements your formal outfits. With added stretch, these pants provide easy movement and a comfortable fit that adapts to your body's contours, allowing you to tackle your everyday activities without restrictions. Crafted from lightweight twill fabrication, they offer durability and resistance while ensuring a comfortable feel. Complete with belt loops, a zipper closure, and four pockets, these trousers seamlessly blend style and functionality. Plus, they're easy to care for, making them an essential addition to your wardrobe. Pair them with your favorite button-down shirt for a polished look.",44,4.5,"MODERN FIT: These dress pants for men feature a fit that is straight through the leg with a regular bottom opening, which creates a modern silhouette, making these pants a sleek and stylish complement to your formal outfits.",9,57
9,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant, Wrangler Authentics,33.1,100% Cotton,Zipper,Bangladesh,Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant.,20109,4.5,"RELAXED STRAIGHT LEG FIT. These premium cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a roomy straight leg cut, these cargo pants will keep you comfortable all day.",10,79
10,Tommy Hilfiger Men's Classic Stretch Chino Pants, Tommy Hilfiger,49.99,"78% Rayon, 19% Nylon, 3% Spandex",Hook and Bar,Guatemala,Unknown,1853,4.4,"Shapely Fit: Tommy Hilfiger Modern Fit dress pants for men give you room in the hip, seat, and thigh while creating a sleek silhouette.",11,71
11,ATG by Wrangler Men's Synthetic Utility Pant, ATG by Wrangler,24.49,"96% Nylon, 4% Spandex",Zipper,Bangladesh,"ALL TERRAIN GEAR: You’re ready to take on your next great adventure, which is why ATG x Wrangler brings you performance outdoor apparel that’s got you covered. Nature doesn’t hold back, which is why we’ve designed a full collection of tops, pants, shorts, outerwear and more with stretch, moisture-wicking fabric that helps block the sun with UPF protection and keep you dry for comfort that doesn’t quit. The line is packed with innovative outdoor tech features like sunglasses cleaner at the hem of all shirts, durable, reinforced pants with reinforced and lightweight, breathable fabrics. Whether you’re camping at your favorite site, hiking a new trail or even just exploring your own backyard, we’ve got the gear you need. Any destination. Any terrain. Anytime.",9114,4.5,"QUICK DRYING. Whether you are crossing wet areas hiking or encounter unexpected rain, these quick-drying utility pants are coated with a water repellent finish to keep you dry through any conditions you may come across.",12,4
12,Amazon Essentials Men's Straight-Fit Stretch Cargo Pant (Available in Big & Tall), Amazon Essentials,28.5,"97% Cotton, 3% Spandex",Zipper,Bangladesh,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,15214,4.4,STRAIGHT FIT: Fitted through the hip and thigh with a straight leg. Sits at the waist.,13,5
13,Haggar Men's Iron Free Premium Khaki Straight Fit Flat Front Flex Waistband Casual Pant, Haggar,31.99,"61% Cotton, 37% Polyester, 2% Elastane",Zipper,Bangladesh,Unknown,3514,4.5,"FEATURES: The Iron Free Premium Pant features a 5-pocket design, scoop front pockets and patch back pockets. The flat front, straight fit silhouette offers a premium flex waistband to provide the ultimate comfort.",14,34
14,Wrangler Authentics Men's Twill Relaxed Fit Cargo Pant (Logan), Wrangler Authentics,33.19,100% Cotton,Zipper,Bangladesh,Wrangler Authentics Men's Classic Twill Relaxed Fit Cargo Pant.,34259,4.5,"RELAXED FIT SILHOUETTE. These cargo pants sit at the natural waist with a relaxed seat and thigh. Finished with a contoured waistband and a relaxed fit leg, these cargo pants will keep you comfortable all day.",15,79
15,Amazon Essentials Men's Slim-Fit Wrinkle-Resistant Flat-Front Chino Pant, Amazon Essentials,22.6,"60% Cotton, 40% Polyester",Zipper,Bangladesh,"An Amazon brand - This slim-fit chino pant features wrinkle-free fabric, a flat-front design, and button-through back welt pockets for a tailored look and all-day comfort",40056,4.2,SLIM FIT: Fitted through hip and thigh with tapered leg. Sits below the waist.,16,5
16,Amazon Essentials Men's Classic-Fit Wrinkle-Resistant Pleated Chino Pant (Available in Big & Tall), Amazon Essentials,28.5,"60% Cotton, 40% Polyester",Zipper,Bangladesh,An Amazon Brand - A pleated dressy chino that offers classic style all week long; made to be wrinkle-resistant and easy-care with a traditional relaxed look and fit,14610,4.3,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,17,5
17,Amazon Essentials Men's Straight-Fit Casual Stretch Chino Pant, Amazon Essentials,23.7,"97% Cotton, 3% Elastane",Zipper,Bangladesh,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,9895,4.3,STRAIGHT FIT: Fits with slight ease through hip and thigh with straight leg. Sits at the waist.,18,5
18,Amazon Essentials Men's Straight-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"99% Cotton, 1% Elastane (also known as Spandex)",Zipper,Vietnam,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",5795,4.4,STRAIGHT FIT: Fits with slight ease through hip and thigh with straight leg. Sits at the waist.,19,5
19,Under Armour Men's Sportstyle Tricot Joggers, Under Armour,24.99,100% Polyester,Drawstring,China,"Durable knit fabric with a smooth face & a soft inner to trap warmth. Material wicks sweat & dries really fast. Ribbed waistband with external drawcord. Back left pocket & hand pockets with right-side internal phone pocket. Tapered leg & ribbed cuffs. Faux fly. Inseam: 30"" (Tall 32"").",15590,4.6,Durable knit fabric with a smooth face & a soft inner to trap warmth|Material wicks sweat & dries really fast|Ribbed waistband with external drawcord|Back left pocket & hand pockets with right-side internal phone pocket|Tapered leg & ribbed cuffs|Faux fly,20,75
20,Amazon Essentials Men's Slim-Fit Casual Stretch Chino Pant, Amazon Essentials,28.5,"97% Cotton, 3% Elastane",Zipper,Sri Lanka,1Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text,26749,4.4,"SLIM FIT: Fitted through hip and thigh, with tapered leg. Sits below the waist.",21,5
21,Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean, Wrangler Authentics,30.96,100% Cotton,Zipper,Mexico,Wrangler Authentics mens Comfort Flex Waist Relaxed Fit Jean,55191,4.6,"RELAXED FIT. Built with a relaxed fit through the seat and thigh, these versatile jeans sit at the natural waist for a comfortable fit during any task. Perfect for everyday wear, this denim classic is a closet staple.",22,79
22,Van Heusen Men's Flex Flat Front Straight Fit Pant, Van Heusen,48.98,"72% Polyester, 22% Rayon, 6% Spandex",Zipper,Vietnam,Unknown,15228,4.4,Keep your look in place from morning commute to mid-afternoon meeting thanks to our clever shirt-gripper - a stellar addition to our comfortable stretch waistband,23,76
23,Under Armour Men's Drive Pants, Under Armour,62.98,"52% Polyester, 48% Elasterell-P",Pull On,Philippines,"If you're still golfing in old-school khakis, it's time to do yourself a favor. UA Drive pants are light, stretchy, and built specifically for today's athletes. Because when you can move better, you can golf better, too. UA Storm technology repels water without sacrificing breathability. Light, durable & super-comfortable stretch-woven twill fabric. 4-way stretch construction moves better in every direction. Stretch-engineered waistband for superior mobility & insane comfort. Flat-front, 4-pocket design. FIT: Straight leg. 90% Polyester/10% Elastane.",2049,4.6,UA Storm technology repels water without sacrificing breathability,24,75
24,"Hanes Essentials Sweatpants, Men’s Cotton Jersey Pants with Pockets, 33”", Hanes,11.02,"100% cotton jersey, Light Steel: 90% cotton, 10% polyester; Charcoal Heather: 60% cotton, 40% polyester",Drawstring,El Salvador,"Heat up or chill out with Hanes® Essentials sweatpants that transition from work-out to loungewear mainstay. Crafted from 100% ring-spun cotton, these open-bottom men’s sweats boast the softness that can only come from natural fibers. Details like robust double-needle stitching at the leg openings, covered elastic waistband with interior drawcord, and convenient side-seam pockets make these men’s joggers a versatile rotation favorite. Top with your favorite Hanes tee or sweatshirt for a look that works at the gym, running errands, or just relaxing with friends. And here’s the best part – these men’s sweatpants with pockets are made from cotton sustainably grown on U.S. farms.",27968,4.3,Keeps you comfortable all day long no matter what life throws at you,25,35
25,Amazon Essentials Men's Athletic-Fit Casual Stretch Chino Pant (Available in Big & Tall), Amazon Essentials,23.7,"97% Cotton, 3% Spandex",Zipper,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",14226,4.4,ATHLETIC FIT: Extra room in the hip and thigh for athletic builds. Sits at the waist.,26,5
26,Lee Men's Extreme Motion Canvas Cargo Pant, Lee,21.91,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"Just like our founder,  H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully because your passion is what makes you unique. And what moves you, moves us. Move your Lee. Fit Type: Straight; Closure Type: Zip-Fly with button closure",4173,4.5,Straight fit; straight leg,27,43
27,Van Heusen Men's Stain Shield Stretch Slim Fit Flat Front Dress Pant, Van Heusen,29.99,"92% Polyester, 8% Elastane",Zipper,Kenya,Van Heusen Mens Stain Shield Stretch Slim Fit Flat Front Dress Pant,1239,4.6,"With a non-iron finish, this style will always look its best",28,76
28,Dockers Men's Classic Fit Easy Khaki Pants - Pleated (Standard and Big & Tall), Dockers,39.99,"64% Cotton, 34% Polyester, 2% Elastane",Button,Bangladesh,Unknown,18606,4.5,"Eased Fit Through Seat and Thigh, Sits at Waist With a Straight Leg Stretch for Performance",29,23
29,IZOD Men's Golf Swingflex Straight-fit Flat-Front Pants, IZOD,34.0,"94% Polyester, 6% Spandex",Button,Egypt,"The IZOD Golf Swingflex trousers are designed for great looks and comfort, whether they're worn in the boardroom, out for a day of golfing, or on a night out. Our straight-fit flat-front pant combines timeless, classic style with versatility. These men's casual pants deliver all-day comfort and contemporary good looks.Our IZOD golf pants feature a zipper fly, a button closure, a belt-loop waistband, UPF 50 sun protection, and moisture-wicking properties. The 4-pocket construction leaves ample room for your wallet and keys as you head out for a day of golf with friends, and the moderate-rise waist pairs with the straight-legged style for a seamless design. Available in multiple colors and sizes, these pants offer effortless style that looks great no matter where you wear them. Made from polyester and spandex for superior stretch, this men’s golf apparel is machine washable on a gentle setting with mild detergent.IZOD is a clothing line that is synonymous with quality. We make clothing for men with the highest-quality materials and expert stitching that will stand up to work and play. Our pants, shirts, activewear, and more combine the best of contemporary fashion, comfort, and versatility.",4550,4.5,"GOLF PANTS FOR MEN: These innovative IZOD pants for men deliver style and casual comfort when it's time for your next round of golf. Our straight-fit pants are perfect for any occasion, from a day in the office to a day of golf to a night out.",30,38
30,Amazon Essentials Men's Slim-Fit Flat-Front Dress Pant, Amazon Essentials,28.5,100% Polyester (certified recycled),Zipper,Bangladesh,"We listen to customer feedback and fine-tune every detail to ensure our clothes are more comfortable, higher quality, and longer lasting—at affordable prices for the whole family.",16375,4.3,"SLIM FIT: Fitted through hip and thigh, with tapered leg. Sits below the waist.",31,5
31,GAP Men's Essential Straight Fit Khaki Chino Pants, GAP,35.99,"98% Cotton, 2% Lycra",Pull On,China,"Modern American Optimism is in our DNA. Since 1969, we have acted as a force for good. Bridging the gaps between generations, backgrounds, and ideas through the honesty (and hope) of our eternal youthful energy.",288,4.3,"THE ESSENTIAL STRAIGHT FIT KHAKIS: With a straight cut that’s slim yet roomy, our khaki pants are made from a smooth cotton twill fabric with GapFlex stretch to keep you comfortable all day long",32,29
32,Dockers Men's Classic Fit Signature Khaki Lux Cotton Stretch Pants, Dockers,29.99,"98% Cotton, 2% Elastane",Button,Bangladesh,Dockers Men's Classic Fit Signature Khaki Lux Cotton Stretch Pants,12681,4.5,Best Pressed- Timeless details and sharp center crease for a polished and confident look,33,23
33,Haggar Men's Premium No Iron Khaki Straight Fit Flat Front Casual Pant, Haggar,39.95,"61% Cotton, 37% Polyester, 2% Spandex",Button,Bangladesh,"The Premium No Iron Khaki looks as great as it feels. Stretchable cotton-blend fabric, hidden expandable waistband and permanent crease will keep you looking sharp and comfortable. If you like our Work to Weekend khaki, you'll love this slightly dressier lighter-weight option. Looking great never felt so good.",5660,4.5,"PREMIUM NO IRON KHAKI: Featuring a flex waistband, flat front, offseam front pockets, single welt back pockets, blind hem in a straight fit silhouette.",34,34
34,"Gildan Adult Fleece Open Bottom Sweatpants with Pockets, Style G18300", Gildan,15.82,"50% Cotton, 50% Polyester",Drawstring,Honduras,"With slightly tapered legs, a differential rise for a better fit and covered elastic waistband with drawcord, the Gildan Adult Fleece Open Bottom Sweatpants with Pockets is the ultimate loungewear style. Featuring a non-pilling surface that’s great for decorating, it delivers a soft comfort that you're sure to love.",27052,4.3,Classic fit with seamless sides for easier printability,35,31
35,"Perry Ellis 100% Linen Drawstring Casual Pants for Men, Regular Fit, Lightweight (Waist Size 29-54 Big & Tall)", Perry Ellis,42.12,100% Linen,Drawstring,Indonesia,"Indulge in ultimate relaxation at home or take a sunny stroll along the waterfront with these light and breathable 100% linen pants for men from Perry Ellis. These pants are designed for comfort and style, featuring a sleek flat front design and convenient open pockets for storing small essentials. The drawstring waistband ensures a secure fit that stays in place throughout the day. A comfortable regular fit offers a bit more room through the thighs and legs, allowing for easy movement. Best of all, these pants can be machine washed and dried, with light ironing needed, making them incredibly low-maintenance. Embrace effortless style with these versatile pants that keep you looking great without the extra time and effort.",2818,4.5,"100% LINEN: Experience lightweight comfort and breathability with these casual pants for men. Crafted from 100% linen fabric which allows air to effortlessly pass through it, keeping you cool and comfortable throughout the day.",36,57
36,Eddie Bauer Men's Rainier Pants, Eddie Bauer,58.8,"94% Nylon, 6% Spandex","Button, zipper",Sri Lanka,"Built for high performance and maximum comfort, these pants are made with a 2-way stretch nylon/spandex fabric. It's treated with a durable, water-repellent finish and features UPF sun protection. Ideal for hiking or anytime adventure calls.",250,4.4,bluesign certified fabric—ensures safe and sustainable textile production,37,24
37,Lee Men's Relaxed Fit Straight Leg Jean, Lee,23.74,100% Cotton,Zipper,Mexico,"Just like our founder,  H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully because your passion is what makes you unique. And what moves you, moves us. Move your Lee.",12709,4.4,RELAXED STRAIGHT FIT. This jean sits at the waist and features a relaxed fit through the seat and thigh with a straight fit through the leg. This timeless fit keeps you comfortable all day long.,38,43
38,Amazon Essentials Men's Slim-Fit Wrinkle-Resistant Stretch Dress Pant, Amazon Essentials,33.2,"63% Polyester, 33% Viscose, 4% Other Fibers",Button,India,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",2040,4.4,"SLIM FIT: Slim fit through hip and thigh, with a tapered leg. Sits at the waist.",39,5
39,Propper Men's Lightweight Tactical Pant, Propper,44.99,65% polyester / 35% cotton with Teflon fabric protector,Belt,China,"Perform with efficiency in the most demanding situations. The Propper Men’s Tactical Pant features a low-profile design made of lightweight, breathable ripstop fabric, coated in DuPont Teflon fabric protector to repel stains and liquids. With nine pockets, an action-stretch waistband, extra-large belt loops, you can carry your gear in comfort. The seat and knees are reinforced for extra durability, while still allowing the addition of knee pads. Belt is not included.",33,3.9,"OUR BEST SELLING PANT: The Lightweight Tactical Pant is our bestselling pant for a reason; Made of a DWR coated breathable cotton ripstop and polyester blend, it won’t weigh you down and is essential for an active lifestyle",40,58
40,Haggar Men's Mynx Gabardine Classic Fit Pleated Front Hidden Expandable Waistband Dress Pant, Haggar,39.99,100% Polyester,30 Inches,Bangladesh,HAGGAR Mens Mynx Gabardine Classic Fit Pleated Front Hidden Expandable Waistband Dress Pant,7219,4.5,Classic pleated dress pant with cuffed hem and button-through welt pockets at back,41,34
41,Haggar Men's Cool 18 Pro Classic Fit Flat Front Casual Pant Regular and Big & Tall Sizes, Haggar,43.23,100% Polyester,Button,Bangladesh,HAGGAR Mens Cool 18 Pro Classic Fit Flat Front Casual Pant Regular and Big & Tall Sizes,12219,4.6,"COOL 18 PRO: A casual pant that checks all the boxes. Whether you are at the office or on the green, this pant is sure to provide the comfort and performance that Haggar is known for.",42,34
42,IZOD Men's American Chino Flat Front Classic Fit Pant, IZOD,36.55,100% Cotton,Button,Bangladesh,"The IZOD American classic-fit chino trousers are designed for great looks and comfort, whether they're worn in the boardroom, out for a day of golfing, or on a night out. These chinos combine timeless, classic style with versatility to deliver all-day comfort and contemporary good looks.Our IZOD chino pants feature a slightly moderate-rise waist with a zipper fly, a button closure, and a belt-loop waistband. The 4-pocket construction leaves ample room for your wallet and keys as you head out for a day with friends. These pants are available with a flat or double-pleated front that pairs with the classic style for a seamless design. Available in multiple colors and sizes, these pants offer effortless style that looks great no matter where you wear them. Made from wrinkle-free 100% cotton with superior breathability, these pants are machine washable on a gentle setting with mild detergent.IZOD is a clothing line that is synonymous with quality. We make clothing for men with the highest-quality materials and expert stitching that will stand up to work and play. Our pants, shirts, activewear, and more combine the best of contemporary fashion, comfort, and versatility.",3201,4.2,"CHINO PANTS FOR MEN: These classic IZOD pants for men deliver casual comfort combined with timeless style. Our men’s dress pants are versatile and perfect for any occasion, from a day in the office to a day of golf to a night out.",43,38
43,Lee Men's Extreme Motion Twill Cargo Pant, Lee,33.1,"98% Cotton, 2% Spandex",Zipper,Bangladesh,"LEE Men's Performance Series Extreme Comfort Twill Straight Fit Cargo Pant. Utility storage in an updated, straight-leg fit, these cargos are built for the modern working man. With performance flex fabric and a comfortable waistband, these pants help you get to work and get the job done, in reliable Lee comfort. BRAND HERITAGE: Just like our founder, H.D. Lee, our passion is helping can-do people do more. We are committed to designing clothing that conforms to your body, allowing you to move through life freely. We help you chase the things that bring you joy and laughter. The things that make you fearless and hopefully because your passion is what makes you unique. And what moves you, moves us. Move your Lee.",1323,4.5,"STRAIGHT FIT. With a straight fit through the hip and thigh, these pants sit at the natural waist with a flex waistband for added range of motion. These pants offer flexibility and utility storage for work and adventure.",44,43
44,Wrangler Riggs Workwear Men's Ripstop Carpenter Jean, Wrangler,34.99,100% Cotton,Zipper,Mexico,Wrangler Riggs Workwear Men's Ripstop Carpenter Jean,11777,4.3,"ROOM2MOVE COMFORT. For long days on the job, you want a work jean that keeps you comfortable. Made with a relaxed fit, this pant features an action gusset crotch and deep front pockets for added range of movement and comfort in wear.",45,78
45,PUMA Men's Essentials Fleece Sweatpants (Available in Big and Tall Sizes), PUMA,32.08,"66% Cotton, 34% Polyester",Pull On,Vietnam,"This season, the Essentials are crafted from more sustainable materials for everyday staples with an impact. The Essentials Fleece Sweatpants feature a soft, cozy blend of recycled polyester and sustainably-sourced cotton for style and comfort you can feel good about.",2041,4.6,Regular Fit,46,56
46,Amazon Essentials Men's Classic-Fit Expandable-Waist Flat-Front Dress Pant, Amazon Essentials,32.3,100% Polyester (certified recycled),Zipper,Bangladesh,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",25015,4.4,CLASSIC FIT: Roomy through hip & thigh with straight leg. Sits at the waist.,47,5
47,Dickies Men's Pull-On Pant with 7 Pockets Elastic Waistband with Button Closure 81006, Dickies,19.99,"55% Cotton, 45% Polyester",Pull On,China,"Men's zip fly pull-on pant features an all around elastic waistband with a button closure, an adjustable interior drawstring and Dickies logo twill tape on the inside back waistband. Also featured are slash pockets, cargo pockets and a back pocket with a hook and loop fastener for security, a d-ring on right front belt loop and double-needle topstitching throughout.",7913,4.3,Men's zip fly pull-on pant with an all around elastic waistband with a button closure,48,22
48,IZOD Men's Big and Tall Performance Stretch Flat Front Pant, IZOD,43.99,"58% Cotton, 40% Polyester, 2% Spandex",Zipper,Bangladesh,"From outdoor ballgames to brunch, wear-all-day comfort with Sport Flex stretch for maximum ease and movement. Whether for work or play, action or relaxation, these pants for men perform.",1093,4.3,Sport Flex Stretch technology moves with your body for maximum flexibility,49,38
49,Wrangler Authentics Men's Fleece Lined Cargo Pant, Wrangler Authentics,28.94,100% Cotton,Zipper,Bangladesh,"The Wrangler Authentics collection delivers laid-back style for the man on the go. Performance-level comfort is built into our classic button-downs and blue jeans for an outfit that feels as good as it looks. Wrangler Authentics jeans are constructed with 5-pocket styling, made from heavyweight 100% cotton denim and feature a comfortable waist with deep front pockets. Available with Advanced Comfort technology that helps your jeans move with you for all day comfort. Pair with your favorite Wrangler Authentics shirt for a night out or casual weekend.",15874,4.6,"RELAXED FIT. These cargo pants sit at the natural waist. Designed with a relaxed fit through the seat and thigh, these cargos will keep you comfortable during any task.",50,79
50,LEE Men's Total Freedom Stretch Relaxed Fit Flat Front Pant, Lee,32.83,"73% Cotton, 25% Polyester, 2% Spandex",Zipper,Mexico,LEE Men's Total Freedom Relaxed Fit Stretch Flat Front Pant.,12613,4.5,RELAXED FIT. These mid-rise pants feature a relaxed fit through the seat and thigh with a tapered leg. These flat front pants offer a timeless look perfect for any occasion.,51,43
51,Lee Men's Flat Front Relaxed Straight Pant, Lee,33.11,"97% Cotton, 3% Spandex",Zipper,Bangladesh,"Lee is an iconic American denim and casual apparel brand that's been making legendary product for legendary people since 1889. With over 125 years of purposeful design and craftsmanship, we know a thing or two about style. Fueled by our core values of authenticity, integrity, and drive, we create products our customers love, time and time again. From uniquely styled jeans, pants, and shorts to on-trend shirts and jackets, our movement-inspired innovations, versatile styling, and superior fit have inspired generations.",402,4.4,RELAXED FIT. Take your everyday look to legendary status with these classic flat-front pants that feature a relaxed fit and straight leg so you can still be comfortable without sacrificing the style you love.,52,43
52,Haggar Men's Stretch Corduroy Pant (Classic and Straight Fit), Haggar,37.08,"98% Cotton, 2% Spandex",Zipper,Bangladesh,HAGGAR Mens Stretch Corduroy Pant (Classic and Straight Fit),6020,4.5,"FEATURES: This durable 21 wale corduroy pant features a flat front, hidden expandable waistband, off-seam front pocket, single welt back pocket, in a classic fit silhouette.",53,34
53,Dockers Men's Signature Go Straight Fit Khaki Smart 360 Tech Pants (Regular and Big & Tall), Dockers,49.99,"77% Polyester, 20% Viscose, 3% Elastane",Zipper,Bangladesh,"Get a stylish and comfortable look wearing the classic Dockers Straight Fit Signature Go Khaki Pants. Flexible waistband with belt loops. Zip-fly and buttoned closure. Two slash pockets in front and two welt pockets at the back. Straight fit. 57% polyester, 20% recycled polyester, 20% viscose, 3% elastane. Machine washable.",133,4.5,Zipper Closure,54,23
54,Dickies Men's Relaxed Fit Straight-Leg Duck Carpenter Jean, Dickies,31.99,100% Cotton,Button,Mexico,"Twelve ounce durable duck fabric is garment washed for a softer, more comfortable feel, with rivets at all stress points for added strength.",32026,4.4,"A jean built to comfortably withstand the toughest working conditions, this sanded and garment washed 100 percent cotton duck jean provides broken-in comfort from day one with a stylishly distressed look and non-binding relaxed straight leg fit",55,22
55,Amazon Essentials Men's Slim-Fit 5-Pocket Stretch Twill Pant, Amazon Essentials,23.7,"98% Cotton, 2% Elastane",Zipper,Vietnam,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck tees. Our consistent sizing takes the guesswork out of shopping, and each piece is put to the test to maintain the highest standards in quality and comfort.",6140,4.4,"SLIM FIT: Fitted through hip and thigh, with tapered leg. Sits below the waist.",56,5
