,productname,brand,price,fabrictype,closuretype,countryoforigin,productdescription,ratings,rate,about,product_id,brand_id
343,G-STAR RAW Men's Rovic Zip 3D Straight Tapered Fit Cargo Pants, G-STAR,140.0,"97% Cotton,3% Elastane",Zipper,India,"A classic military staple reinterpreted for the city, this modern cargo pant features a precise tapered fit and contrast pocket details. Articulated knees, deep thigh pockets and a zip pocket complete the design. Inside, soft cotton lines the waistband. The Rovic Zip 3D Tapered is constructed from finely woven twill with a soft hand-feel. By buying cotton products from G-Star Raw, you're supporting more sustainable cotton farming through the Better Cotton Initiative. Better Cotton is sourced via a system of Mass Balance.",8650,4.5,Modern cargo pant features a precise tapered fit and contrast pocket details,344,28
344,Arctix Men's Mountain Premium Snowboard Cargo Pants, Arctix,63.99,100% Polyester Mechanical Stretch WR/WP coating,Bangladesh,Unknown,Arctix Mens Mountain Premium Snowboard Cargo Pants,2255,4.2,"INSEAM HEIGHT REFERENCE: 28"" (5'- 5'3""), 30""(5'4"" – 5'7""), 32"" (5'8"" – 5'10""), 34"" (5'11"" – 6'2"").",345,7
345,Mizuno Challenger Sweatpant, Mizuno,33.75,"Machine Wash Cold With Like Colors, Tumble Dry Low",High Rise,China,"Designed to be an athlete's go-to sweatpant, the Mizuno Challenger Sweatpant features a side seam pockets, an embroidered Mizuno logo on the left thigh, and tapered leg with cuffed bottom. The soft hand french terry material is 65% cotton and 35% polyester.",9,4.8,65% cotton 35% polyester,346,48
346,Skechers Mens Go Walk Premium 5 Pocket Pant, Skechers,49.99,100% Polyester,Button,Vietnam,Unknown,14,4.4,Numeric sized waistband with belt loops,347,66
347,"Dickies Men's Loose Fit Double Knee Work Pants, Dark Navy", Dickies,34.21,"65% Polyester, 35% Cotton",Zipper,Mexico,"Our Dickies Men's Loose Fit Double Knee Work Pants work double-time in comfort so you can stay comfortable and focused on doing your work. The twill blend adds durability and is easy to care for. These pants feature reinforced knees for even more durability, as well as a high-rise waist and relaxed fit, with a classic straight leg. And the wide-tunnel belt loops are sturdy and can handle a heavy belt. These Double Knee Work Pants also have welt back pockets that stay securely closed, and a front multiuse pocket, too.",Unknown,3,Reinforced knees,348,22
348,Columbia Men's Silver Ridge Cargo Short, Columbia,40.23,100% Nylon,Button,Bangladesh,"Columbia Silver Ridge Cargo Short is the ultimate staple designed for the outdoor enthusiast. Crafted of 100% nylon and Columbia’s signature soft-to-the-touch fabric remains lightweight, yet durable, no matter the weather or activity. High quality materials and expert craftsmanship are the backbone of Columbia’s men’s apparel.",5409,4.5,"ADVANCED TECHNOLOGY: Columbia's Silver Ridge Cargo Short features our signature UPF 50 fabric for protection against harmful UVA and UVA rays as well as breathable, wicking fabric that pulls moisture away to keep you cool and dry.",349,19
349,Armani Exchange Men's J13 Slim Fit Stretch Cotton Bull Denim Pants, A｜X ARMANI EXCHANGE,79.7,"97% Cotton, 3% Elastane",Zipper,Cambodia,"These A|X Armani Exchange jeans come in a stretch cotton bull denim for maximum comfort, with a classic slim fit, small A|X Icon logo patch on the back pocket, and Armani Exchange logo tag on the waistband.",Unknown,3,Slim Fit,350,8
350,Ariat Men's Fr M5 Stretch Duralight Canvas Stackable Straight Leg Pant, ARIAT,129.95,"74% Cotton, 24% Nylon, 2% Spandex",Zipper,Nicaragua,Built with 3X the abrasion resistance and ultralight fabric our FR M5 DuraLight Stretch Canvas Pant offers great fit and flex with maximum durability. Flame-resistant for hazardous work environments.,211,4.6,Cat 2,351,3
351,"Dickies Men's Flex Regular Fit Cargo Pants, Black", Dickies,34.99,"65% Polyester, 35% Cotton",Zipper,Honduras,"Who says cargo pants are only for casual or rugged wear? Our Men's FLEX Regular Fit Cargo Pants beg to differ. They move like cargo pants, but look like a stylish pair of slacks. That's impressive versatility, from jobsite to office real quick. Don't worry–you're not missing out on the functionalities of cargo pants. We've retained the expandable cargo pockets so you can still enjoy handy storage for all your essentials and accessories. And the FLEX fabric is durable as it moves with you. These cargo pants have got all your needs covered.",Unknown,3,Combination multi-use pocket,352,22
352,A｜X ARMANI EXCHANGE Men's Icon Project Embroidered Jogger, A｜X ARMANI EXCHANGE,120.0,100% Cotton,Drawstring,Cambodia,This sweatpants features the original brandnameinternalx logo from the 90's embroidered on the left thigh.,45,4.7,Coulisse interna,353,8
